caseid,make_get_guns,gender,ideology,trust_in_gov,religion,race
5932,More Difficult,Female,Moderate,,Few Times A Week,White
4323,More Difficult,Male,Slightly Liberal,,Several Times Daily,White
5864,More Difficult,Male,Slightly Liberal,,Never,White
3236,More Difficult,Female,Liberal,Some of the Time,Once Daily,White
969,More Difficult,Female,Slightly Liberal,,Few Times A Week,White
1695,More Difficult,Female,,,Once Daily,Black
1512,More Difficult,Female,Slightly Liberal,,Several Times Daily,Hispanic
3803,More Difficult,Male,Moderate,,Several Times Daily,White
942,More Difficult,Male,,,Several Times Daily,White
3138,More Difficult,Female,Moderate,,Once Daily,White
6212,More Difficult,Male,Conservative,Some of the Time,Never,White
3141,More Difficult,Male,Slightly Liberal,Some of the Time,Several Times Daily,Black
1876,More Difficult,Male,Liberal,Half of the Time,Few Times A Week,Other
6834,More Difficult,Female,Slightly Conservative,Some of the Time,Few Times A Week,Hispanic
13,More Difficult,Female,Slightly Liberal,,Several Times Daily,White
3145,More Difficult,Female,Extremely Liberal,,Never,White
850,More Difficult,Female,,,Few Times A Week,Hispanic
3943,More Difficult,Female,Moderate,,Several Times Daily,Other
3868,More Difficult,Female,Moderate,,Several Times Daily,Hispanic
4610,More Difficult,Male,Slightly Liberal,Half of the Time,Never,White
3615,More Difficult,Female,Slightly Liberal,Half of the Time,Several Times Daily,White
3158,More Difficult,Male,Slightly Liberal,Half of the Time,Once A Week Or Less,Other
6047,More Difficult,Male,Moderate,,Several Times Daily,White
957,More Difficult,Male,Liberal,,Once A Week Or Less,Black
451,More Difficult,Female,,,Few Times A Week,White
5637,More Difficult,Male,Slightly Liberal,Half of the Time,Few Times A Week,White
1205,More Difficult,Female,,,Several Times Daily,Black
495,More Difficult,Male,Slightly Conservative,,Several Times Daily,Black
396,More Difficult,Female,,Some of the Time,Few Times A Week,White
3689,More Difficult,Male,Moderate,,Once Daily,White
4101,More Difficult,Female,Moderate,,Once Daily,Black
1904,More Difficult,Female,Slightly Liberal,Half of the Time,Several Times Daily,Hispanic
999,More Difficult,Female,Moderate,,Several Times Daily,Black
4194,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Black
1239,More Difficult,Male,Slightly Liberal,,Several Times Daily,Black
6267,More Difficult,Female,Liberal,,Several Times Daily,White
4030,More Difficult,Male,Moderate,Some of the Time,Few Times A Week,White
5364,More Difficult,Female,Moderate,,Several Times Daily,Other
5654,More Difficult,Male,Conservative,Some of the Time,Once Daily,White
1753,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
5178,More Difficult,Female,Moderate,Half of the Time,Once A Week Or Less,White
1985,More Difficult,Male,,,Few Times A Week,Hispanic
1191,More Difficult,Female,,,Several Times Daily,Other
6300,More Difficult,Male,Liberal,Half of the Time,Once Daily,Hispanic
4687,More Difficult,Male,Liberal,,Once Daily,Black
620,More Difficult,Female,,,Few Times A Week,Black
5362,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
3644,More Difficult,Female,Slightly Conservative,Some of the Time,Once A Week Or Less,White
4189,More Difficult,Male,Liberal,Half of the Time,Once Daily,Black
4726,More Difficult,Male,Slightly Conservative,Some of the Time,Few Times A Week,White
344,More Difficult,Female,Liberal,,Once Daily,White
6258,More Difficult,Male,Slightly Conservative,Most Of The Time,Several Times Daily,White
3227,More Difficult,Female,Slightly Liberal,,Few Times A Week,Black
3232,More Difficult,Male,Slightly Liberal,Half of the Time,Once Daily,White
4906,More Difficult,Male,Moderate,,Never,White
4473,More Difficult,Female,Slightly Liberal,,Once A Week Or Less,White
2019,More Difficult,Male,Slightly Liberal,Half of the Time,Never,White
346,More Difficult,Female,,,Several Times Daily,White
6137,More Difficult,Male,Extremely Liberal,,Never,Hispanic
1892,More Difficult,Female,Moderate,,Once Daily,White
3247,More Difficult,Male,Moderate,Never,Several Times Daily,Hispanic
5892,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,Black
4479,More Difficult,Female,Slightly Conservative,,Once Daily,Hispanic
3253,More Difficult,Female,Conservative,,Several Times Daily,White
4342,More Difficult,Male,Slightly Liberal,Some of the Time,Never,Other
5308,More Difficult,Male,Moderate,,Never,White
3552,More Difficult,Female,Moderate,,Never,White
5081,More Difficult,Female,Moderate,Half of the Time,Once A Week Or Less,Other
1021,More Difficult,Female,Conservative,,Several Times Daily,Black
3262,More Difficult,Male,Moderate,,Once A Week Or Less,White
3848,More Difficult,Female,Liberal,,Few Times A Week,White
3265,More Difficult,Female,Liberal,Some of the Time,Never,White
4319,More Difficult,Male,Slightly Conservative,,Several Times Daily,Hispanic
932,More Difficult,Male,Slightly Conservative,,Once Daily,White
5675,More Difficult,Male,Liberal,,Never,White
4819,More Difficult,Female,Liberal,Half of the Time,Once Daily,Black
4840,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,Hispanic
4576,More Difficult,Female,Conservative,Some of the Time,Once Daily,Black
3280,More Difficult,Female,Conservative,,Few Times A Week,White
1064,More Difficult,Male,,,Few Times A Week,
4223,More Difficult,Female,Moderate,,Several Times Daily,Black
3029,More Difficult,Male,Moderate,Never,Never,White
5074,More Difficult,Male,Moderate,,Few Times A Week,White
3712,More Difficult,Female,Moderate,Never,Few Times A Week,White
3297,More Difficult,Female,Moderate,Some of the Time,Once Daily,White
1375,More Difficult,Female,Moderate,Some of the Time,Once Daily,Black
6024,More Difficult,Female,,Some of the Time,Several Times Daily,Hispanic
1493,More Difficult,Female,,,Once A Week Or Less,Black
732,More Difficult,Female,Moderate,Most Of The Time,Once Daily,White
3316,More Difficult,Female,Liberal,Half of the Time,Once A Week Or Less,White
4965,More Difficult,Female,Slightly Liberal,Some of the Time,Few Times A Week,White
1763,More Difficult,Female,Slightly Conservative,,Once A Week Or Less,Black
3329,More Difficult,Male,Extremely Conservative,Half of the Time,Once A Week Or Less,Hispanic
609,More Difficult,Female,Extremely Liberal,Some of the Time,Few Times A Week,Black
3211,More Difficult,Male,Moderate,,Once A Week Or Less,White
4805,More Difficult,Female,Extremely Conservative,Some of the Time,Few Times A Week,White
1128,More Difficult,Male,Liberal,,Few Times A Week,Black
6859,More Difficult,Female,Liberal,Some of the Time,Few Times A Week,White
3348,More Difficult,Female,Moderate,Some of the Time,Never,White
3349,More Difficult,Male,Moderate,Some of the Time,Several Times Daily,White
6644,More Difficult,Male,Slightly Liberal,Never,Once A Week Or Less,Hispanic
3529,More Difficult,Female,Slightly Conservative,,Few Times A Week,Other
1000,More Difficult,Female,,,Several Times Daily,Black
6271,More Difficult,Male,Liberal,,Once Daily,White
1228,More Difficult,Male,,,Several Times Daily,Black
3797,More Difficult,Male,Conservative,,Several Times Daily,White
1434,More Difficult,Male,Slightly Liberal,Half of the Time,Several Times Daily,Black
68,More Difficult,Female,Slightly Liberal,,Few Times A Week,Hispanic
3370,More Difficult,Male,Slightly Liberal,Some of the Time,Never,White
6650,More Difficult,Male,Moderate,,Several Times Daily,Hispanic
4291,More Difficult,Male,Moderate,,Once A Week Or Less,Black
1952,More Difficult,Male,Slightly Conservative,,Once A Week Or Less,White
4121,More Difficult,Female,Slightly Liberal,,Never,White
4908,More Difficult,Female,Moderate,,Several Times Daily,Black
3431,More Difficult,Female,Slightly Conservative,Some of the Time,Once Daily,White
4126,More Difficult,Female,Conservative,Some of the Time,Once Daily,White
6712,More Difficult,Female,Liberal,,Never,White
2017,More Difficult,Male,Slightly Conservative,,Once Daily,Black
6568,More Difficult,Male,Moderate,,Never,Other
5245,More Difficult,Male,Moderate,Some of the Time,Several Times Daily,Hispanic
5407,More Difficult,Male,Slightly Conservative,,Never,White
6007,More Difficult,Female,Moderate,Half of the Time,Once Daily,Hispanic
6549,More Difficult,Female,Slightly Liberal,Some of the Time,Once Daily,Other
4938,More Difficult,Female,Moderate,Most Of The Time,Several Times Daily,Black
3402,More Difficult,Male,Moderate,,Several Times Daily,Black
3405,More Difficult,Male,Liberal,,Once A Week Or Less,White
986,More Difficult,Female,Liberal,Half of the Time,Once Daily,Black
591,More Difficult,Female,,,Several Times Daily,Black
6625,More Difficult,Male,Moderate,Some of the Time,Few Times A Week,White
359,More Difficult,Female,,,Several Times Daily,Black
561,More Difficult,Female,,Half of the Time,Several Times Daily,Black
2014,More Difficult,Female,,,Few Times A Week,White
4550,More Difficult,Female,Moderate,,Several Times Daily,White
3199,More Difficult,Female,Moderate,,Once Daily,White
376,More Difficult,Male,Moderate,Some of the Time,Few Times A Week,White
1983,More Difficult,Female,Moderate,Most Of The Time,Once Daily,Hispanic
3807,More Difficult,Female,Conservative,,Several Times Daily,White
6107,More Difficult,Male,Slightly Liberal,,Never,Black
3115,More Difficult,Female,Moderate,,Few Times A Week,White
1702,More Difficult,Female,,,Once A Week Or Less,Black
3434,More Difficult,Male,Moderate,,Once A Week Or Less,Black
3660,More Difficult,Female,Slightly Conservative,Half of the Time,Once A Week Or Less,White
6726,More Difficult,Female,Slightly Liberal,,Never,White
3334,More Difficult,Female,Slightly Conservative,Some of the Time,Few Times A Week,White
3438,More Difficult,Female,Moderate,Never,Several Times Daily,White
5978,More Difficult,Female,Moderate,Half of the Time,Never,White
347,More Difficult,Female,Slightly Conservative,Most Of The Time,Once Daily,White
4814,More Difficult,Female,Moderate,Half of the Time,Once Daily,Hispanic
5635,More Difficult,Female,Conservative,Some of the Time,Few Times A Week,White
4667,More Difficult,Male,Liberal,Half of the Time,Never,White
4273,More Difficult,Female,Liberal,,Never,Hispanic
1803,More Difficult,Male,Moderate,,Several Times Daily,Black
5713,More Difficult,Male,Moderate,Most Of The Time,Never,Hispanic
1872,More Difficult,Male,Conservative,,Once Daily,White
3452,More Difficult,Female,Liberal,,Never,
6203,More Difficult,Male,Moderate,,Once A Week Or Less,Hispanic
4118,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Black
3755,More Difficult,Female,Slightly Liberal,,Once Daily,White
1951,More Difficult,Male,Slightly Conservative,,Several Times Daily,White
577,More Difficult,Female,Conservative,Some of the Time,Several Times Daily,Black
3468,More Difficult,Male,Liberal,Some of the Time,Once Daily,White
1474,More Difficult,Male,,Some of the Time,Few Times A Week,Hispanic
4282,More Difficult,Male,Moderate,,Once Daily,Black
3596,More Difficult,Male,Conservative,Never,Several Times Daily,White
3159,More Difficult,Male,Conservative,Half of the Time,Several Times Daily,White
1550,More Difficult,Female,Slightly Liberal,Some of the Time,Never,Other
3512,More Difficult,Male,Moderate,,Never,White
6000,More Difficult,Female,Moderate,,Once Daily,Black
3642,More Difficult,Male,Liberal,,Few Times A Week,Black
3319,More Difficult,Female,Moderate,,Once A Week Or Less,White
4204,More Difficult,Male,Slightly Liberal,Most Of The Time,Once A Week Or Less,Black
6394,More Difficult,Male,Moderate,Some of the Time,Several Times Daily,Black
3663,More Difficult,Male,Conservative,Never,Several Times Daily,White
5690,More Difficult,Female,Moderate,Some of the Time,Never,Hispanic
3511,More Difficult,Female,Liberal,Half of the Time,Never,White
5032,More Difficult,Male,Liberal,Most Of The Time,Once Daily,Black
6596,More Difficult,Male,Moderate,Most Of The Time,Few Times A Week,Hispanic
5964,More Difficult,Male,Slightly Liberal,,Few Times A Week,White
493,More Difficult,Female,Moderate,,Once Daily,Hispanic
1198,More Difficult,Female,Liberal,,Once Daily,Black
6412,More Difficult,Male,Extremely Conservative,,Once Daily,Hispanic
3981,More Difficult,Female,Moderate,Most Of The Time,Several Times Daily,Black
5203,More Difficult,Male,Moderate,Half of the Time,Once Daily,White
2043,More Difficult,Male,Slightly Conservative,,Few Times A Week,White
4583,More Difficult,Female,Conservative,Half of the Time,Few Times A Week,White
3523,More Difficult,Male,Moderate,,Once Daily,White
4937,More Difficult,Female,Slightly Liberal,Some of the Time,Once A Week Or Less,White
6305,More Difficult,Female,Slightly Liberal,,Once Daily,White
1334,More Difficult,Female,,,Once Daily,Black
6844,More Difficult,Female,Extremely Conservative,Some of the Time,Several Times Daily,White
6050,More Difficult,Female,Slightly Conservative,Most Of The Time,Several Times Daily,Hispanic
4736,More Difficult,Female,Slightly Liberal,Some of the Time,Several Times Daily,Other
3532,More Difficult,Female,Moderate,Half of the Time,Few Times A Week,White
6501,More Difficult,Female,Moderate,,Never,White
6570,More Difficult,Male,Liberal,Half of the Time,Once Daily,Hispanic
3430,More Difficult,Male,Moderate,,Never,White
3541,More Difficult,Male,Slightly Liberal,,Once Daily,White
3542,More Difficult,Female,Moderate,Half of the Time,Few Times A Week,White
1906,More Difficult,Female,,,Several Times Daily,White
786,More Difficult,Female,Liberal,,Once A Week Or Less,White
3900,More Difficult,Female,Liberal,,Several Times Daily,Black
6155,More Difficult,Male,Slightly Conservative,,Few Times A Week,White
6240,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
3525,More Difficult,Female,Conservative,Most Of The Time,Few Times A Week,White
5640,More Difficult,Female,Slightly Liberal,Some of the Time,Once Daily,White
183,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,White
5525,More Difficult,Male,Slightly Liberal,,Once Daily,Hispanic
3556,More Difficult,Male,Moderate,,Once A Week Or Less,White
6346,More Difficult,Male,Conservative,,Never,Hispanic
3558,More Difficult,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,Black
5912,More Difficult,Female,Moderate,,Few Times A Week,White
6152,More Difficult,Male,Liberal,,Once A Week Or Less,Black
3564,More Difficult,Female,Conservative,,Once Daily,Hispanic
6631,More Difficult,Female,Slightly Conservative,Half of the Time,Several Times Daily,White
5524,More Difficult,Female,Slightly Conservative,,Few Times A Week,Hispanic
3332,More Difficult,Female,Slightly Conservative,,Once A Week Or Less,Hispanic
4631,More Difficult,Male,Slightly Conservative,,Never,White
3426,More Difficult,Male,Extremely Liberal,Most Of The Time,Never,White
4033,More Difficult,Female,Moderate,Never,Once Daily,White
1467,More Difficult,Female,Liberal,,Never,Hispanic
5481,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,White
3060,More Difficult,Male,Slightly Conservative,,Once A Week Or Less,White
3580,More Difficult,Male,Extremely Liberal,,Once Daily,Hispanic
1484,More Difficult,Female,Conservative,Most Of The Time,Once Daily,Hispanic
3493,More Difficult,Male,Moderate,Never,Once A Week Or Less,Black
1471,More Difficult,Female,Slightly Conservative,,Several Times Daily,Black
544,More Difficult,Female,,,Several Times Daily,Hispanic
1808,More Difficult,Male,,Half of the Time,Several Times Daily,Black
5820,More Difficult,Female,Extremely Liberal,Some of the Time,Several Times Daily,Other
1711,More Difficult,Male,Conservative,,Once Daily,White
4621,More Difficult,Female,Moderate,Half of the Time,Few Times A Week,Hispanic
164,More Difficult,Female,Conservative,Some of the Time,Few Times A Week,Hispanic
3862,More Difficult,Male,Extremely Liberal,,Never,White
1836,More Difficult,Female,Extremely Liberal,Never,Once Daily,Hispanic
5478,More Difficult,Male,Slightly Liberal,Half of the Time,Once Daily,White
1827,More Difficult,Female,,,Few Times A Week,Hispanic
5292,More Difficult,Male,Extremely Liberal,Some of the Time,Never,White
224,More Difficult,Female,Slightly Conservative,,Few Times A Week,White
4266,More Difficult,Male,Slightly Conservative,,Few Times A Week,Other
5695,More Difficult,Female,Slightly Liberal,Some of the Time,Never,White
6835,More Difficult,Male,Slightly Liberal,Some of the Time,Never,Black
5240,More Difficult,Male,Moderate,,Never,Other
3157,More Difficult,Female,Conservative,,Few Times A Week,White
5583,More Difficult,Female,Slightly Conservative,,Once A Week Or Less,White
1728,More Difficult,Male,,Some of the Time,Once Daily,Hispanic
1183,More Difficult,Male,,Most Of The Time,Once Daily,Black
1980,More Difficult,Female,,,Several Times Daily,White
2035,More Difficult,Female,Slightly Liberal,Most Of The Time,Once Daily,Hispanic
3622,More Difficult,Male,Slightly Liberal,,Once A Week Or Less,White
5705,More Difficult,Female,Moderate,,Several Times Daily,Hispanic
4419,More Difficult,Female,Slightly Conservative,Half of the Time,Once Daily,Hispanic
1236,More Difficult,Male,,Half of the Time,Once Daily,Black
1233,More Difficult,Female,Moderate,Some of the Time,Several Times Daily,Other
5519,More Difficult,Female,Conservative,,Once Daily,Hispanic
1477,More Difficult,Male,Conservative,Some of the Time,Several Times Daily,Black
3634,More Difficult,Female,Slightly Conservative,,Several Times Daily,Black
3160,More Difficult,Female,Liberal,Some of the Time,Few Times A Week,White
1828,More Difficult,Female,,,Once Daily,Hispanic
3445,More Difficult,Female,Moderate,,Once A Week Or Less,White
3810,More Difficult,Female,Extremely Liberal,Some of the Time,Never,White
691,More Difficult,Male,,Some of the Time,Several Times Daily,Hispanic
3650,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,Hispanic
5816,More Difficult,Female,Conservative,,Never,White
960,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,White
4619,More Difficult,Female,Slightly Liberal,,Few Times A Week,White
5926,More Difficult,Female,Liberal,Some of the Time,Never,White
4743,More Difficult,Male,Moderate,Most Of The Time,Several Times Daily,Black
161,More Difficult,Female,,,Never,White
3538,More Difficult,Female,Moderate,,,
3490,More Difficult,Female,Slightly Conservative,,Never,White
3679,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
535,More Difficult,Male,Conservative,Some of the Time,Never,Hispanic
4409,More Difficult,Male,Slightly Liberal,Some of the Time,Never,Other
6062,More Difficult,Female,Extremely Conservative,Some of the Time,Few Times A Week,Hispanic
3260,More Difficult,Male,Slightly Liberal,Some of the Time,Never,Black
3686,More Difficult,Male,Slightly Conservative,,Once Daily,Hispanic
4635,More Difficult,Female,Moderate,,Several Times Daily,Black
1511,More Difficult,Male,Slightly Conservative,,Once Daily,Black
3726,More Difficult,Female,Extremely Liberal,Some of the Time,Once A Week Or Less,White
2055,More Difficult,Female,Extremely Conservative,,Several Times Daily,Hispanic
3695,More Difficult,Female,Conservative,,Few Times A Week,White
1867,More Difficult,Female,,,Once Daily,White
1113,More Difficult,Male,Slightly Liberal,Half of the Time,Never,White
2048,More Difficult,Male,Extremely Liberal,Most Of The Time,Few Times A Week,White
4998,More Difficult,Male,Slightly Liberal,Most Of The Time,Few Times A Week,White
6736,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,Hispanic
623,More Difficult,Female,Slightly Liberal,Some of the Time,Once Daily,Hispanic
3703,More Difficult,Female,Liberal,Some of the Time,Once A Week Or Less,White
5839,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,White
4000,More Difficult,Male,Liberal,Most Of The Time,Once A Week Or Less,Hispanic
390,More Difficult,Female,Conservative,,Once Daily,White
3714,More Difficult,Female,Conservative,Some of the Time,Never,White
3716,More Difficult,Male,Conservative,,Few Times A Week,Other
1582,More Difficult,Female,Slightly Liberal,Some of the Time,Few Times A Week,White
5307,More Difficult,Female,Moderate,,Once A Week Or Less,White
3719,More Difficult,Female,Moderate,,Several Times Daily,Black
3467,More Difficult,Female,Liberal,,Several Times Daily,Black
862,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
6316,More Difficult,Male,Moderate,,Few Times A Week,White
3010,More Difficult,Female,Liberal,Some of the Time,Few Times A Week,White
3939,More Difficult,Male,Slightly Liberal,,Few Times A Week,White
3998,More Difficult,Male,Moderate,Some of the Time,Once A Week Or Less,White
4935,More Difficult,Female,Moderate,,Few Times A Week,Black
5752,More Difficult,Female,Slightly Liberal,Some of the Time,Once A Week Or Less,Hispanic
5742,More Difficult,Male,Liberal,Some of the Time,Few Times A Week,White
262,More Difficult,Female,Liberal,Some of the Time,Once A Week Or Less,White
4020,More Difficult,Female,Moderate,,Once Daily,Black
3059,More Difficult,Male,Slightly Liberal,Half of the Time,Never,White
410,More Difficult,Female,Liberal,Most Of The Time,Never,Hispanic
5281,More Difficult,Male,Liberal,Some of the Time,Once Daily,Hispanic
6268,More Difficult,Female,Extremely Conservative,,Several Times Daily,Black
6321,More Difficult,Male,Slightly Conservative,Some of the Time,Few Times A Week,Hispanic
6207,More Difficult,Female,Liberal,,Once Daily,White
1324,More Difficult,Female,,,Once Daily,Black
817,More Difficult,Female,Slightly Liberal,Some of the Time,Once Daily,Hispanic
5306,More Difficult,Female,Moderate,Never,Several Times Daily,White
3759,More Difficult,Female,Moderate,Never,Several Times Daily,White
1358,More Difficult,Female,,Half of the Time,Several Times Daily,Black
6624,More Difficult,Male,Slightly Conservative,Half of the Time,Several Times Daily,Black
6293,More Difficult,Male,Moderate,Some of the Time,Few Times A Week,White
5436,More Difficult,Male,Slightly Liberal,Half of the Time,Once Daily,Hispanic
4989,More Difficult,Female,Conservative,,Several Times Daily,Black
4929,More Difficult,Female,Liberal,Some of the Time,Several Times Daily,Black
3983,More Difficult,Female,Liberal,,Few Times A Week,White
5332,More Difficult,Male,Liberal,,Several Times Daily,Black
5410,More Difficult,Female,Slightly Liberal,,Several Times Daily,Other
4572,More Difficult,Female,Conservative,Some of the Time,Several Times Daily,White
5384,More Difficult,Female,Liberal,,Few Times A Week,Black
3218,More Difficult,Female,Liberal,,Never,White
4891,More Difficult,Female,Moderate,Half of the Time,Once A Week Or Less,Black
111,More Difficult,Female,,Some of the Time,Several Times Daily,Black
5239,More Difficult,Male,Slightly Liberal,Some of the Time,Few Times A Week,White
1689,More Difficult,Female,,,Few Times A Week,Hispanic
5493,More Difficult,Female,Extremely Conservative,,Several Times Daily,White
6660,More Difficult,Female,Slightly Conservative,,Several Times Daily,White
6145,More Difficult,Female,Conservative,Never,Several Times Daily,White
1291,More Difficult,Male,Moderate,Some of the Time,Several Times Daily,White
4670,More Difficult,Female,Slightly Conservative,Some of the Time,Once A Week Or Less,Other
115,More Difficult,Female,Slightly Liberal,Some of the Time,Few Times A Week,White
