City,Price,Bedrooms,Bathrooms,SqFt,PricePerSqFt,Status
Paso Robles,89000,3,2,1560,57.05,Short Sale
Santa Maria-Orcutt,129900,3,1,1042,124.66,Short Sale
Los Osos,375000,3,3,1519,246.87,Short Sale
Atascadero,599000,3,2,2774,215.93,Short Sale
Paso Robles,235000,3,2,1340,175.37,Short Sale
Santa Maria-Orcutt,255900,3,2,1440,177.71,Foreclosure
Santa Maria-Orcutt,148900,5,2,1064,139.94,Short Sale
Arroyo Grande,749000,3,2,2145,349.18,Short Sale
Santa Maria-Orcutt,189900,3,2,1472,129.01,Foreclosure
Paso Robles,183000,3,1,888,206.08,Short Sale
Santa Maria-Orcutt,232600,3,3,1582,147.03,Short Sale
Cambria,520000,3,2,1680,309.52,Short Sale
Solvang,355000,3,3,1702,208.58,Foreclosure
Pismo Beach,275000,0,1,398,690.95,Short Sale
Santa Maria-Orcutt,225000,4,3,1940,115.98,Short Sale
Santa Maria-Orcutt,161900,3,2,1200,134.92,Short Sale
Santa Maria-Orcutt,249999,3,3,2013,124.19,Short Sale
Santa Maria-Orcutt,208000,2,1,1267,164.17,Short Sale
Guadalupe,135000,3,1,1100,122.73,Short Sale
San Luis Obispo,385000,2,3,1389,277.18,Short Sale
Atascadero,750000,4,4,3387,221.43,Foreclosure
Atascadero,810000,4,3,3305,245.08,Foreclosure
Atascadero,890000,4,5,4229,210.45,Foreclosure
Atascadero,895000,4,3,3676,243.47,Foreclosure
San Miguel,229900,3,2,1458,157.68,Short Sale
Grover Beach,240000,2,2,1020,235.29,Short Sale
Atascadero,429000,4,3,2513,170.71,Foreclosure
Santa Maria-Orcutt,399000,4,3,2800,142.5,Short Sale
Santa Maria-Orcutt,385000,3,2,2000,192.5,Short Sale
Paso Robles,294900,3,2,1316,224.09,Foreclosure
Paso Robles,399000,3,2,1220,327.05,Short Sale
Santa Maria-Orcutt,269000,3,3,1780,151.12,Short Sale
Cambria,449000,3,3,2120,211.79,Short Sale
Arroyo Grande,555900,5,3,2947,188.63,Foreclosure
Paso Robles,319900,4,2,2135,149.84,Foreclosure
Cambria,332000,4,4,1872,177.35,Foreclosure
Bradley,499000,4,5,3400,146.76,Short Sale
Paso Robles,432000,4,3,3113,138.77,Short Sale
Arroyo Grande,199000,2,1,827,240.63,Short Sale
Santa Maria-Orcutt,29000,2,2,1500,19.33,Foreclosure
Atascadero,299000,3,2,1270,235.43,Short Sale
Santa Maria-Orcutt,259000,4,3,1857,139.47,Short Sale
Los Osos,99000,1,1,538,184.01,Short Sale
Avila Beach,779000,2,2,1223,636.96,Foreclosure
Avila Beach,839000,2,2,1223,686.02,Foreclosure
Santa Ynez,525000,3,2,1746,300.69,Short Sale
Santa Ynez,795000,3,2,2092,380.02,Short Sale
Santa Maria-Orcutt,337000,4,2,2000,168.5,Short Sale
Oceano,164900,2,1,750,219.87,Foreclosure
San Luis Obispo,449000,2,3,1650,272.12,Short Sale
Guadalupe,94000,2,2,797,117.94,Foreclosure
Pismo Beach,899000,3,3,2266,396.73,Short Sale
Santa Maria-Orcutt,180000,3,2,1280,140.63,Short Sale
Bradley,194900,3,2,1092,178.48,Foreclosure
Los Osos,350000,3,2,1509,231.94,Short Sale
King City,167770,3,3,1793,93.57,Foreclosure
Creston,309900,3,2,1705,181.76,Foreclosure
Templeton,479000,2,3,2100,228.1,Short Sale
Los Alamos,350000,3,2,1582,221.24,Short Sale
Grover Beach,350000,3,2,1470,238.1,Short Sale
Santa Maria-Orcutt,275000,3,2,1424,193.12,Short Sale
Paso Robles,379000,4,3,2277,166.45,Short Sale
King City,155900,4,2,3368,46.29,Foreclosure
San Miguel,229000,3,2,1458,157.06,Short Sale
Pismo Beach,604995,2,3,1749,345.91,Foreclosure
Pismo Beach,599000,3,3,1996,300.1,Short Sale
Morro Bay,359000,3,2,1008,356.15,Short Sale
Lompoc,199000,4,2,1527,130.32,Foreclosure
Paso Robles,164900,3,2,1440,114.51,Short Sale
Coalinga,179000,3,2,1815,98.62,Short Sale
Paso Robles,370000,4,2,2064,179.26,Short Sale
Santa Ynez,999000,5,4,2402,415.9,Short Sale
Paso Robles,365000,3,3,2136,170.88,Short Sale
San Miguel,345000,3,2,1498,230.31,Short Sale
Paso Robles,299000,2,1,1068,279.96,Short Sale
Pismo Beach,519500,2,1,634,819.4,Short Sale
Buellton,645000,4,4,3000,215,Short Sale
Santa Maria-Orcutt,242500,3,2,1218,199.1,Foreclosure
Santa Maria-Orcutt,259900,3,3,1300,199.92,Short Sale
Santa Maria-Orcutt,310000,4,3,2014,153.92,Short Sale
Atascadero,450000,2,2,1463,307.59,Short Sale
Santa Maria-Orcutt,220000,2,2,1541,142.76,Short Sale
San Luis Obispo,585000,3,2,1268,461.36,Short Sale
Santa Maria-Orcutt,324000,5,4,2400,135,Short Sale
Cambria,375000,1,1,551,680.58,Short Sale
Paso Robles,329000,3,2,1420,231.69,Short Sale
Paso Robles,599900,5,3,2764,217.04,Foreclosure
Santa Maria-Orcutt,74900,2,2,1014,73.87,Short Sale
Los Osos,285000,3,2,1120,254.46,Short Sale
Santa Maria-Orcutt,751900,3,3,3400,221.15,Foreclosure
Santa Maria-Orcutt,295000,3,2,1386,212.84,Short Sale
Coalinga,170000,3,2,1320,128.79,Short Sale
Santa Maria-Orcutt,197000,3,2,1376,143.17,Short Sale
Oceano,1250000,3,3,2586,483.37,Short Sale
Paso Robles,249000,3,2,1662,149.82,Short Sale
Nipomo,179000,2,2,1033,173.28,Short Sale
Santa Maria-Orcutt,132000,3,1,1050,125.71,Short Sale
Lockwood,425000,3,2,1500,283.33,Short Sale
Santa Maria-Orcutt,290000,5,3,2500,116,Short Sale
Los Osos,150000,2,2,896,167.41,Short Sale
Los Osos,150000,2,2,896,167.41,Short Sale
Los Osos,150000,2,2,896,167.41,Short Sale
Los Osos,150000,2,2,896,167.41,Short Sale
Los Osos,150000,2,2,896,167.41,Short Sale
Los Osos,205000,2,2,1388,147.69,Short Sale
Atascadero,599000,4,3,3120,191.99,Short Sale
Paso Robles,269000,3,3,1352,198.96,Short Sale
Santa Maria-Orcutt,249000,4,3,1963,126.85,Short Sale
Santa Maria-Orcutt,235000,3,3,1541,152.5,Short Sale
Grover Beach,469000,4,3,2449,191.51,Foreclosure
Nipomo,159000,4,2,1660,95.78,Short Sale
King City,69900,3,1,936,74.68,Foreclosure
Arroyo Grande,1499000,5,7,6800,220.44,Short Sale
Atascadero,239000,3,2,1022,233.86,Short Sale
Atascadero,399500,3,2,1665,239.94,Short Sale
Paso Robles,299900,3,2,1209,248.06,Foreclosure
Lompoc,275000,3,2,1700,161.76,Short Sale
Morro Bay,395000,4,2,1736,227.53,Short Sale
Santa Maria-Orcutt,105000,1,1,731,143.64,Short Sale
Santa Maria-Orcutt,179999,3,2,1086,165.74,Short Sale
Santa Maria-Orcutt,219000,3,2,1131,193.63,Short Sale
Solvang,325000,3,3,1500,216.67,Short Sale
Atascadero,829900,4,3,3827,216.85,Short Sale
Santa Maria-Orcutt,165000,2,1,1100,150,Short Sale
Santa Maria-Orcutt,179000,3,2,1398,128.04,Short Sale
Paso Robles,279000,3,2,1381,202.03,Short Sale
Atascadero,820000,4,4,3387,242.1,Foreclosure
Paso Robles,399000,2,1,1250,319.2,Short Sale
San Miguel,164900,3,1,965,170.88,Short Sale
Santa Maria-Orcutt,235000,4,2,1860,126.34,Short Sale
Arroyo Grande,1900000,4,5,5411,351.14,Short Sale
Nipomo,289000,3,2,1367,211.41,Short Sale
Paso Robles,355000,3,2,1640,216.46,Short Sale
Santa Maria-Orcutt,199000,3,2,1269,156.82,Short Sale
Santa Maria-Orcutt,209000,3,2,1275,163.92,Short Sale
Lompoc,186900,3,1,912,204.93,Foreclosure
Santa Maria-Orcutt,240000,4,2,1460,164.38,Short Sale
Nipomo,515000,2,2,2000,257.5,Short Sale
Santa Maria-Orcutt,215000,4,2,1750,122.86,Short Sale
Santa Maria-Orcutt,399900,4,4,3050,131.11,Short Sale
Paso Robles,369000,4,3,2371,155.63,Short Sale
Paso Robles,250000,2,2,1292,193.5,Short Sale
Paso Robles,259000,3,2,1640,157.93,Short Sale
Santa Maria-Orcutt,180000,2,2,1082,166.36,Short Sale
Solvang,399900,3,2,1522,262.75,Short Sale
Arroyo Grande,385000,3,2,1535,250.81,Short Sale
Santa Maria-Orcutt,154000,2,2,1100,140,Short Sale
San Luis Obispo,254900,2,2,966,263.87,Foreclosure
Paso Robles,315000,4,2,1653,190.56,Short Sale
Santa Maria-Orcutt,437500,3,3,2523,173.4,Short Sale
Santa Maria-Orcutt,299900,3,3,2511,119.43,Short Sale
Arroyo Grande,399000,3,3,1772,225.17,Short Sale
Paso Robles,330000,3,3,1889,174.7,Short Sale
Arroyo Grande,279000,2,2,880,317.05,Short Sale
Santa Maria-Orcutt,248000,3,2,1400,177.14,Short Sale
Santa Maria-Orcutt,209000,3,3,1494,139.89,Short Sale
Los Osos,729000,3,2,1844,395.34,Short Sale
Atascadero,454500,4,3,1900,239.21,Foreclosure
Paso Robles,249000,3,2,1176,211.73,Short Sale
Nipomo,1700000,3,5,4463,380.91,Short Sale
Grover Beach,349000,3,2,1635,213.46,Short Sale
Grover Beach,575000,3,3,2095,274.46,Short Sale
Santa Maria-Orcutt,185000,3,2,1300,142.31,Short Sale
Santa Maria-Orcutt,165000,3,2,1200,137.5,Short Sale
Morro Bay,311900,0,1,910,342.75,Foreclosure
Santa Maria-Orcutt,175000,3,2,1600,109.38,Short Sale
Lompoc,180000,4,2,1332,135.14,Short Sale
Santa Maria-Orcutt,78000,2,2,1680,46.43,Short Sale
Oceano,142900,2,1,1313,108.83,Foreclosure
Atascadero,850000,4,4,3744,227.03,Foreclosure
Paso Robles,389000,3,2,1998,194.69,Short Sale
Santa Maria-Orcutt,641900,3,3,2714,236.51,Foreclosure
Templeton,305000,4,2,1797,169.73,Short Sale
Paso Robles,260000,3,3,1687,154.12,Short Sale
Paso Robles,320000,3,2,1663,192.42,Short Sale
Atascadero,199000,2,1,792,251.26,Short Sale
Santa Maria-Orcutt,299000,2,2,1410,212.06,Short Sale
Buellton,289000,2,2,1085,266.36,Short Sale
Santa Maria-Orcutt,229900,3,3,1900,121,Short Sale
Atascadero,865000,4,3,3305,261.72,Foreclosure
Atascadero,900000,4,4,3962,227.16,Short Sale
Atascadero,199000,2,3,1260,157.94,Short Sale
Santa Maria-Orcutt,160000,2,3,1200,133.33,Short Sale
Santa Maria-Orcutt,299000,3,3,2400,124.58,Short Sale
Oceano,300000,3,3,1265,237.15,Short Sale
Santa Maria-Orcutt,270000,4,2,1460,184.93,Short Sale
Nipomo,490000,3,3,1894,258.71,Short Sale
Santa Maria-Orcutt,295000,3,3,1800,163.89,Short Sale
Paso Robles,225000,3,2,1550,145.16,Short Sale
Atascadero,324900,2,2,1426,227.84,Short Sale
Santa Maria-Orcutt,165000,3,2,1110,148.65,Short Sale
Santa Maria-Orcutt,157900,3,2,1075,146.88,Short Sale
Nipomo,299000,3,2,1756,170.27,Short Sale
Paso Robles,369000,3,3,2150,171.63,Short Sale
Santa Maria-Orcutt,233000,4,2,1650,141.21,Short Sale
Santa Maria-Orcutt,109900,2,2,1200,91.58,Foreclosure
Paso Robles,309000,3,2,1488,207.66,Short Sale
Pismo Beach,1799000,4,4,3609,498.48,Foreclosure
Santa Maria-Orcutt,209900,2,2,1113,188.59,Short Sale
Solvang,499000,3,2,1600,311.88,Short Sale
Arroyo Grande,525000,4,2,1961,267.72,Short Sale
Los Osos,650000,3,3,3249,200.06,Short Sale
Morro Bay,529000,3,3,1510,350.33,Short Sale
Santa Maria-Orcutt,179000,3,2,1300,137.69,Short Sale
Lompoc,282000,3,3,1736,162.44,Short Sale
Templeton,899000,4,3,3008,298.87,Short Sale
Santa Maria-Orcutt,130000,3,2,1850,70.27,Short Sale
Santa Maria-Orcutt,205000,3,2,1146,178.88,Short Sale
Santa Maria-Orcutt,180900,2,2,1100,164.45,Short Sale
Atascadero,409900,4,4,2135,191.99,Short Sale
Atascadero,409900,4,4,2135,191.99,Short Sale
Grover Beach,469000,3,2,1827,256.7,Short Sale
Arroyo Grande,289000,3,1,1005,287.56,Short Sale
Santa Maria-Orcutt,99999,2,3,1800,55.56,Short Sale
Santa Maria-Orcutt,445000,5,3,3307,134.56,Foreclosure
Atascadero,640000,3,3,2160,296.3,Short Sale
San Miguel,185000,3,2,1062,174.2,Short Sale
Santa Maria-Orcutt,210000,4,2,1102,190.56,Short Sale
Santa Maria-Orcutt,199900,3,2,1215,164.53,Short Sale
Santa Maria-Orcutt,225000,3,2,1600,140.63,Short Sale
Paso Robles,369900,4,2,2161,171.17,Foreclosure
Santa Maria-Orcutt,120000,3,2,1686,71.17,Short Sale
Paso Robles,199000,2,1,1000,199,Short Sale
Arroyo Grande,520000,3,3,2600,200,Short Sale
Paso Robles,579000,5,3,3150,183.81,Foreclosure
Santa Maria-Orcutt,300000,4,2,1257,238.66,Short Sale
Arroyo Grande,325000,3,2,1171,277.54,Short Sale
Santa Maria-Orcutt,225000,3,2,1144,196.68,Short Sale
Atascadero,395000,2,1,1160,340.52,Short Sale
Santa Maria-Orcutt,399000,4,3,2300,173.48,Short Sale
Lompoc,165000,3,2,1144,144.23,Short Sale
Arroyo Grande,374900,3,2,1368,274.05,Short Sale
Santa Maria-Orcutt,199900,3,2,1238,161.47,Short Sale
Arroyo Grande,365000,3,1,1056,345.64,Short Sale
Santa Maria-Orcutt,222900,2,2,1086,205.25,Short Sale
Los Osos,249900,2,1,720,347.08,Foreclosure
Paso Robles,290000,3,2,1426,203.37,Short Sale
Santa Maria-Orcutt,170500,4,2,1361,125.28,Short Sale
Atascadero,560000,3,3,2344,238.91,Short Sale
Nipomo,339900,4,2,1925,176.57,Short Sale
Nipomo,550000,4,3,2600,211.54,Short Sale
San Miguel,269900,4,2,1601,168.58,Short Sale
Paso Robles,350000,3,2,1395,250.9,Short Sale
Los Osos,214000,2,2,1042,205.37,Foreclosure
Santa Maria-Orcutt,299900,3,2,1200,249.92,Short Sale
Nipomo,139500,2,2,1248,111.78,Foreclosure
Lompoc,360000,4,3,3000,120,Short Sale
Paso Robles,315000,3,2,1300,242.31,Short Sale
Paso Robles,279900,3,2,1244,225,Foreclosure
Paso Robles,399000,4,2,2139,186.54,Short Sale
Atascadero,475000,4,3,2450,193.88,Short Sale
Santa Maria-Orcutt,65900,2,2,840,78.45,Foreclosure
Coalinga,212000,4,3,1878,112.89,Short Sale
San Miguel,180000,3,2,1350,133.33,Short Sale
Santa Maria-Orcutt,210000,4,2,1377,152.51,Short Sale
Buellton,375000,3,3,1475,254.24,Short Sale
Atascadero,106900,2,2,894,119.57,Foreclosure
Paso Robles,221830,3,2,1550,143.12,Short Sale
Nipomo,239000,3,2,1106,216.09,Short Sale
Atascadero,187500,1,1,594,315.66,Short Sale
Los Alamos,445000,5,3,3200,139.06,Short Sale
Santa Maria-Orcutt,309000,3,2,1906,162.12,Short Sale
Santa Maria-Orcutt,315000,3,2,2004,157.19,Short Sale
Santa Maria-Orcutt,191100,3,1,1200,159.25,Foreclosure
Cambria,699900,5,3,1818,384.98,Foreclosure
Nipomo,189500,2,2,1040,182.21,Short Sale
Santa Maria-Orcutt,199000,4,2,1400,142.14,Short Sale
Santa Maria-Orcutt,359000,4,3,2209,162.52,Short Sale
Atascadero,264450,3,1,1030,256.75,Short Sale
Templeton,459000,3,2,1999,229.61,Short Sale
Santa Maria-Orcutt,150000,3,2,1316,113.98,Short Sale
Pismo Beach,875000,3,3,2200,397.73,Short Sale
Pismo Beach,599000,2,2,1200,499.17,Short Sale
Atascadero,250000,3,3,1261,198.26,Short Sale
Lompoc,165000,3,2,1120,147.32,Short Sale
Santa Maria-Orcutt,229900,4,3,1857,123.8,Short Sale
Santa Maria-Orcutt,229900,3,2,1400,164.21,Short Sale
Paso Robles,269900,3,2,1139,236.96,Short Sale
Santa Maria-Orcutt,245000,5,3,6098,40.18,Short Sale
Santa Maria-Orcutt,165000,3,2,1300,126.92,Short Sale
Lompoc,429000,3,3,2041,210.19,Short Sale
Santa Maria-Orcutt,309900,4,3,2248,137.86,Short Sale
Arroyo Grande,265000,2,1,972,272.63,Foreclosure
Santa Maria-Orcutt,169900,4,2,1500,113.27,Short Sale
Santa Maria-Orcutt,380900,3,2,2000,190.45,Short Sale
Santa Maria-Orcutt,315000,4,3,1939,162.45,Short Sale
Lompoc,260000,3,2,1413,184.01,Short Sale
Santa Maria-Orcutt,119900,3,2,1312,91.39,Short Sale
Santa Maria-Orcutt,211500,3,2,1275,165.88,Foreclosure
Santa Maria-Orcutt,149000,2,1,854,174.47,Short Sale
San Luis Obispo,890000,3,3,3474,256.19,Short Sale
Cambria,289900,3,2,1380,210.07,Foreclosure
Santa Maria-Orcutt,289000,4,3,2100,137.62,Short Sale
Oceano,399900,3,2,1487,268.93,Short Sale
Santa Maria-Orcutt,125000,3,2,900,138.89,Short Sale
Nipomo,359900,5,3,3036,118.54,Short Sale
Santa Maria-Orcutt,239000,3,3,1800,132.78,Short Sale
Santa Maria-Orcutt,199900,3,3,1600,124.94,Short Sale
Santa Maria-Orcutt,179900,4,3,2150,83.67,Short Sale
Santa Maria-Orcutt,195000,3,2,1300,150,Short Sale
San Luis Obispo,299000,2,2,896,333.71,Foreclosure
Santa Maria-Orcutt,265000,2,3,1700,155.88,Short Sale
Nipomo,699000,3,2,1700,411.18,Foreclosure
Grover Beach,275000,2,2,1194,230.32,Short Sale
Paso Robles,169990,3,2,1465,116.03,Foreclosure
Santa Maria-Orcutt,189000,3,3,1530,123.53,Short Sale
Santa Ynez,695000,4,2,2032,342.03,Foreclosure
Santa Maria-Orcutt,105000,2,2,1088,96.51,Short Sale
Santa Maria-Orcutt,365000,4,4,4000,91.25,Short Sale
Paso Robles,335900,3,3,1296,259.18,Foreclosure
Lompoc,170000,3,2,944,180.08,Short Sale
Santa Maria-Orcutt,339900,4,2,2100,161.86,Short Sale
Santa Maria-Orcutt,359900,3,3,2340,153.8,Short Sale
Santa Maria-Orcutt,143000,3,2,1080,132.41,Short Sale
Santa Maria-Orcutt,199000,3,2,1196,166.39,Short Sale
San Luis Obispo,374800,3,3,1365,274.58,Short Sale
Los Osos,499000,3,2,2120,235.38,Short Sale
Atascadero,138900,2,1,1055,131.66,Foreclosure
Avila Beach,1999000,4,5,5307,376.67,Short Sale
Paso Robles,359000,3,2,1774,202.37,Short Sale
Santa Maria-Orcutt,294900,4,2,1856,158.89,Short Sale
Atascadero,299500,4,2,1836,163.13,Foreclosure
Santa Maria-Orcutt,427900,4,3,2367,180.78,Short Sale
Nipomo,269000,3,2,1181,227.77,Short Sale
Bradley,449000,3,3,2563,175.19,Short Sale
Santa Maria-Orcutt,144900,2,2,1130,128.23,Foreclosure
Santa Maria-Orcutt,345000,3,3,2020,170.79,Short Sale
Paso Robles,239000,4,2,1240,192.74,Short Sale
Los Osos,310000,2,1,780,397.44,Short Sale
Santa Maria-Orcutt,225000,3,3,1800,125,Short Sale
Paso Robles,695000,5,6,3750,185.33,Short Sale
Nipomo,242500,3,3,1650,146.97,Short Sale
Arroyo Grande,249250,2,1,728,342.38,Short Sale
Grover Beach,479000,3,2,1462,327.63,Short Sale
Lompoc,169900,3,2,1150,147.74,Foreclosure
Santa Maria-Orcutt,219900,3,3,1660,132.47,Short Sale
Paso Robles,150000,2,2,1440,104.17,Short Sale
Nipomo,649000,4,2,1814,357.77,Foreclosure
Santa Maria-Orcutt,285000,4,3,2100,135.71,Short Sale
Paso Robles,163999,3,2,1488,110.21,Short Sale
Nipomo,349000,4,2,1718,203.14,Short Sale
Buellton,409900,3,2,1716,238.87,Foreclosure
Los Osos,275000,3,2,1320,208.33,Short Sale
Santa Maria-Orcutt,179900,3,2,1200,149.92,Foreclosure
Oceano,789000,3,3,2218,355.73,Short Sale
Santa Maria-Orcutt,299000,4,3,1768,169.12,Short Sale
Arroyo Grande,850000,5,4,3588,236.9,Foreclosure
Santa Maria-Orcutt,295900,3,2,1776,166.61,Short Sale
Santa Maria-Orcutt,199000,4,3,1467,135.65,Short Sale
Santa Maria-Orcutt,199900,3,3,1950,102.51,Short Sale
Santa Maria-Orcutt,179900,3,2,1288,139.67,Foreclosure
Atascadero,290000,3,3,1733,167.34,Short Sale
Santa Maria-Orcutt,168000,3,2,1128,148.94,Short Sale
Santa Maria-Orcutt,270000,3,3,1900,142.11,Short Sale
Los Osos,1249000,6,7,5103,244.76,Foreclosure
Santa Maria-Orcutt,240000,3,2,1255,191.24,Short Sale
Coalinga,219500,5,2,1802,121.81,Short Sale
Santa Maria-Orcutt,235000,4,3,2336,100.6,Short Sale
San Luis Obispo,239800,2,2,1190,201.51,Foreclosure
Santa Maria-Orcutt,269000,3,3,1800,149.44,Short Sale
Paso Robles,319200,4,3,2006,159.12,Foreclosure
Paso Robles,402500,3,2,2446,164.55,Foreclosure
Paso Robles,425000,3,2,2114,201.04,Short Sale
Atascadero,669000,3,3,2600,257.31,Short Sale
Atascadero,369000,3,2,1514,243.73,Short Sale
Paso Robles,239900,3,2,1080,222.13,Foreclosure
Grover Beach,249500,2,2,1088,229.32,Short Sale
Solvang,557000,4,2,1809,307.9,Short Sale
Santa Maria-Orcutt,339900,6,3,2053,165.56,Foreclosure
Nipomo,149900,2,2,969,154.7,Short Sale
Arroyo Grande,849900,3,4,3375,251.82,Short Sale
Lompoc,307000,3,2,1594,192.6,Foreclosure
Santa Maria-Orcutt,259000,4,3,1900,136.32,Short Sale
Santa Maria-Orcutt,165000,3,2,1050,157.14,Short Sale
Santa Maria-Orcutt,289900,3,2,1414,205.02,Foreclosure
Nipomo,879000,3,4,3698,237.7,Short Sale
Santa Maria-Orcutt,220000,3,2,1200,183.33,Short Sale
Atascadero,309000,3,3,1685,183.38,Short Sale
Paso Robles,580000,3,3,2271,255.39,Short Sale
Santa Maria-Orcutt,459900,2,2,1150,399.91,Short Sale
Santa Maria-Orcutt,299000,5,3,2481,120.52,Short Sale
Santa Maria-Orcutt,309900,4,3,1600,193.69,Short Sale
Paso Robles,287000,3,2,1269,226.16,Short Sale
Grover Beach,310000,3,2,1200,258.33,Short Sale
Atascadero,229900,3,2,1198,191.9,Foreclosure
Buellton,377000,3,2,1363,276.6,Foreclosure
Lompoc,295000,4,2,1973,149.52,Short Sale
Santa Maria-Orcutt,225000,3,2,1516,148.42,Short Sale
Santa Maria-Orcutt,130000,3,2,1080,120.37,Short Sale
Santa Maria-Orcutt,169990,2,1,920,184.77,Short Sale
