study_name,sample_number,species,region,culmen_length,culmen_depth,flipper_length,body_mass,sex
PAL0809,33,Chinstrap penguin (Pygoscelis antarctica),Anvers,42.5,16.7,187,3350,FEMALE
PAL0809,34,Chinstrap penguin (Pygoscelis antarctica),Anvers,51,18.8,203,4100,MALE
PAL0809,35,Chinstrap penguin (Pygoscelis antarctica),Anvers,49.7,18.6,195,3600,MALE
PAL0809,36,Chinstrap penguin (Pygoscelis antarctica),Anvers,47.5,16.8,199,3900,FEMALE
PAL0809,37,Chinstrap penguin (Pygoscelis antarctica),Anvers,47.6,18.3,195,3850,FEMALE
PAL0809,38,Chinstrap penguin (Pygoscelis antarctica),Anvers,52,20.7,210,4800,MALE
PAL0809,39,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.9,16.6,192,2700,FEMALE
PAL0809,40,Chinstrap penguin (Pygoscelis antarctica),Anvers,53.5,19.9,205,4500,MALE
PAL0809,41,Chinstrap penguin (Pygoscelis antarctica),Anvers,49,19.5,210,3950,MALE
PAL0809,42,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.2,17.5,187,3650,FEMALE
PAL0809,43,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.9,19.1,196,3550,MALE
PAL0809,44,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.5,17,196,3500,FEMALE
PAL0910,45,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.9,17.9,196,3675,FEMALE
PAL0910,46,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.8,18.5,201,4450,MALE
PAL0910,47,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.1,17.9,190,3400,FEMALE
PAL0910,48,Chinstrap penguin (Pygoscelis antarctica),Anvers,49,19.6,212,4300,MALE
PAL0910,49,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.5,18.7,187,3250,MALE
PAL0910,50,Chinstrap penguin (Pygoscelis antarctica),Anvers,49.8,17.3,198,3675,FEMALE
PAL0910,51,Chinstrap penguin (Pygoscelis antarctica),Anvers,48.1,16.4,199,3325,FEMALE
PAL0910,52,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.4,19,201,3950,MALE
PAL0910,53,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.7,17.3,193,3600,FEMALE
PAL0910,54,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.7,19.7,203,4050,MALE
PAL0910,55,Chinstrap penguin (Pygoscelis antarctica),Anvers,42.5,17.3,187,3350,FEMALE
PAL0910,56,Chinstrap penguin (Pygoscelis antarctica),Anvers,52.2,18.8,197,3450,MALE
PAL0910,57,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.2,16.6,191,3250,FEMALE
PAL0910,58,Chinstrap penguin (Pygoscelis antarctica),Anvers,49.3,19.9,203,4050,MALE
PAL0910,59,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.2,18.8,202,3800,MALE
PAL0910,60,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.6,19.4,194,3525,FEMALE
PAL0910,61,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.9,19.5,206,3950,MALE
PAL0910,62,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.8,16.5,189,3650,FEMALE
PAL0910,63,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.7,17,195,3650,FEMALE
PAL0910,64,Chinstrap penguin (Pygoscelis antarctica),Anvers,55.8,19.8,207,4000,MALE
PAL0910,65,Chinstrap penguin (Pygoscelis antarctica),Anvers,43.5,18.1,202,3400,FEMALE
PAL0910,66,Chinstrap penguin (Pygoscelis antarctica),Anvers,49.6,18.2,193,3775,MALE
PAL0910,67,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.8,19,210,4100,MALE
PAL0910,68,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.2,18.7,198,3775,FEMALE
PAL0708,1,Gentoo penguin (Pygoscelis papua),Anvers,46.1,13.2,211,4500,FEMALE
PAL0708,2,Gentoo penguin (Pygoscelis papua),Anvers,50,16.3,230,5700,MALE
PAL0708,3,Gentoo penguin (Pygoscelis papua),Anvers,48.7,14.1,210,4450,FEMALE
PAL0708,4,Gentoo penguin (Pygoscelis papua),Anvers,50,15.2,218,5700,MALE
PAL0708,5,Gentoo penguin (Pygoscelis papua),Anvers,47.6,14.5,215,5400,MALE
PAL0708,6,Gentoo penguin (Pygoscelis papua),Anvers,46.5,13.5,210,4550,FEMALE
PAL0708,7,Gentoo penguin (Pygoscelis papua),Anvers,45.4,14.6,211,4800,FEMALE
PAL0708,8,Gentoo penguin (Pygoscelis papua),Anvers,46.7,15.3,219,5200,MALE
PAL0708,9,Gentoo penguin (Pygoscelis papua),Anvers,43.3,13.4,209,4400,FEMALE
PAL0708,10,Gentoo penguin (Pygoscelis papua),Anvers,46.8,15.4,215,5150,MALE
PAL0708,11,Gentoo penguin (Pygoscelis papua),Anvers,40.9,13.7,214,4650,FEMALE
PAL0708,12,Gentoo penguin (Pygoscelis papua),Anvers,49,16.1,216,5550,MALE
PAL0708,13,Gentoo penguin (Pygoscelis papua),Anvers,45.5,13.7,214,4650,FEMALE
PAL0708,14,Gentoo penguin (Pygoscelis papua),Anvers,48.4,14.6,213,5850,MALE
PAL0708,15,Gentoo penguin (Pygoscelis papua),Anvers,45.8,14.6,210,4200,FEMALE
PAL0708,16,Gentoo penguin (Pygoscelis papua),Anvers,49.3,15.7,217,5850,MALE
PAL0708,17,Gentoo penguin (Pygoscelis papua),Anvers,42,13.5,210,4150,FEMALE
PAL0708,18,Gentoo penguin (Pygoscelis papua),Anvers,49.2,15.2,221,6300,MALE
PAL0708,19,Gentoo penguin (Pygoscelis papua),Anvers,46.2,14.5,209,4800,FEMALE
PAL0708,20,Gentoo penguin (Pygoscelis papua),Anvers,48.7,15.1,222,5350,MALE
PAL0708,21,Gentoo penguin (Pygoscelis papua),Anvers,50.2,14.3,218,5700,MALE
PAL0708,22,Gentoo penguin (Pygoscelis papua),Anvers,45.1,14.5,215,5000,FEMALE
PAL0708,23,Gentoo penguin (Pygoscelis papua),Anvers,46.5,14.5,213,4400,FEMALE
PAL0708,24,Gentoo penguin (Pygoscelis papua),Anvers,46.3,15.8,215,5050,MALE
PAL0708,25,Gentoo penguin (Pygoscelis papua),Anvers,42.9,13.1,215,5000,FEMALE
PAL0708,26,Gentoo penguin (Pygoscelis papua),Anvers,46.1,15.1,215,5100,MALE
PAL0708,27,Gentoo penguin (Pygoscelis papua),Anvers,44.5,14.3,216,4100,
PAL0708,28,Gentoo penguin (Pygoscelis papua),Anvers,47.8,15,215,5650,MALE
PAL0708,29,Gentoo penguin (Pygoscelis papua),Anvers,48.2,14.3,210,4600,FEMALE
PAL0708,30,Gentoo penguin (Pygoscelis papua),Anvers,50,15.3,220,5550,MALE
PAL0708,31,Gentoo penguin (Pygoscelis papua),Anvers,47.3,15.3,222,5250,MALE
PAL0708,32,Gentoo penguin (Pygoscelis papua),Anvers,42.8,14.2,209,4700,FEMALE
PAL0708,33,Gentoo penguin (Pygoscelis papua),Anvers,45.1,14.5,207,5050,FEMALE
PAL0708,34,Gentoo penguin (Pygoscelis papua),Anvers,59.6,17,230,6050,MALE
PAL0809,35,Gentoo penguin (Pygoscelis papua),Anvers,49.1,14.8,220,5150,FEMALE
PAL0809,36,Gentoo penguin (Pygoscelis papua),Anvers,48.4,16.3,220,5400,MALE
PAL0809,37,Gentoo penguin (Pygoscelis papua),Anvers,42.6,13.7,213,4950,FEMALE
PAL0809,38,Gentoo penguin (Pygoscelis papua),Anvers,44.4,17.3,219,5250,MALE
PAL0809,39,Gentoo penguin (Pygoscelis papua),Anvers,44,13.6,208,4350,FEMALE
PAL0809,40,Gentoo penguin (Pygoscelis papua),Anvers,48.7,15.7,208,5350,MALE
PAL0809,41,Gentoo penguin (Pygoscelis papua),Anvers,42.7,13.7,208,3950,FEMALE
PAL0809,42,Gentoo penguin (Pygoscelis papua),Anvers,49.6,16,225,5700,MALE
PAL0809,43,Gentoo penguin (Pygoscelis papua),Anvers,45.3,13.7,210,4300,FEMALE
PAL0809,44,Gentoo penguin (Pygoscelis papua),Anvers,49.6,15,216,4750,MALE
PAL0809,45,Gentoo penguin (Pygoscelis papua),Anvers,50.5,15.9,222,5550,MALE
PAL0809,46,Gentoo penguin (Pygoscelis papua),Anvers,43.6,13.9,217,4900,FEMALE
PAL0809,47,Gentoo penguin (Pygoscelis papua),Anvers,45.5,13.9,210,4200,FEMALE
PAL0809,48,Gentoo penguin (Pygoscelis papua),Anvers,50.5,15.9,225,5400,MALE
PAL0809,49,Gentoo penguin (Pygoscelis papua),Anvers,44.9,13.3,213,5100,FEMALE
PAL0809,50,Gentoo penguin (Pygoscelis papua),Anvers,45.2,15.8,215,5300,MALE
PAL0809,51,Gentoo penguin (Pygoscelis papua),Anvers,46.6,14.2,210,4850,FEMALE
PAL0809,52,Gentoo penguin (Pygoscelis papua),Anvers,48.5,14.1,220,5300,MALE
PAL0809,53,Gentoo penguin (Pygoscelis papua),Anvers,45.1,14.4,210,4400,FEMALE
PAL0809,54,Gentoo penguin (Pygoscelis papua),Anvers,50.1,15,225,5000,MALE
PAL0809,55,Gentoo penguin (Pygoscelis papua),Anvers,46.5,14.4,217,4900,FEMALE
PAL0809,56,Gentoo penguin (Pygoscelis papua),Anvers,45,15.4,220,5050,MALE
PAL0809,57,Gentoo penguin (Pygoscelis papua),Anvers,43.8,13.9,208,4300,FEMALE
PAL0809,58,Gentoo penguin (Pygoscelis papua),Anvers,45.5,15,220,5000,MALE
PAL0809,59,Gentoo penguin (Pygoscelis papua),Anvers,43.2,14.5,208,4450,FEMALE
PAL0809,60,Gentoo penguin (Pygoscelis papua),Anvers,50.4,15.3,224,5550,MALE
PAL0809,61,Gentoo penguin (Pygoscelis papua),Anvers,45.3,13.8,208,4200,FEMALE
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,46.2,14.9,221,5300,MALE
PAL0809,63,Gentoo penguin (Pygoscelis papua),Anvers,45.7,13.9,214,4400,FEMALE
PAL0809,64,Gentoo penguin (Pygoscelis papua),Anvers,54.3,15.7,231,5650,MALE
PAL0809,65,Gentoo penguin (Pygoscelis papua),Anvers,45.8,14.2,219,4700,FEMALE
PAL0809,66,Gentoo penguin (Pygoscelis papua),Anvers,49.8,16.8,230,5700,MALE
PAL0809,67,Gentoo penguin (Pygoscelis papua),Anvers,46.2,14.4,214,4650,
PAL0809,68,Gentoo penguin (Pygoscelis papua),Anvers,49.5,16.2,229,5800,MALE
PAL0809,69,Gentoo penguin (Pygoscelis papua),Anvers,43.5,14.2,220,4700,FEMALE
PAL0809,70,Gentoo penguin (Pygoscelis papua),Anvers,50.7,15,223,5550,MALE
PAL0809,71,Gentoo penguin (Pygoscelis papua),Anvers,47.7,15,216,4750,FEMALE
PAL0809,72,Gentoo penguin (Pygoscelis papua),Anvers,46.4,15.6,221,5000,MALE
PAL0809,73,Gentoo penguin (Pygoscelis papua),Anvers,48.2,15.6,221,5100,MALE
PAL0809,74,Gentoo penguin (Pygoscelis papua),Anvers,46.5,14.8,217,5200,FEMALE
PAL0809,75,Gentoo penguin (Pygoscelis papua),Anvers,46.4,15,216,4700,FEMALE
PAL0809,76,Gentoo penguin (Pygoscelis papua),Anvers,48.6,16,230,5800,MALE
PAL0809,77,Gentoo penguin (Pygoscelis papua),Anvers,47.5,14.2,209,4600,FEMALE
PAL0809,78,Gentoo penguin (Pygoscelis papua),Anvers,51.1,16.3,220,6000,MALE
PAL0809,79,Gentoo penguin (Pygoscelis papua),Anvers,45.2,13.8,215,4750,FEMALE
PAL0809,80,Gentoo penguin (Pygoscelis papua),Anvers,45.2,16.4,223,5950,MALE
PAL0910,81,Gentoo penguin (Pygoscelis papua),Anvers,49.1,14.5,212,4625,FEMALE
PAL0910,82,Gentoo penguin (Pygoscelis papua),Anvers,52.5,15.6,221,5450,MALE
PAL0910,83,Gentoo penguin (Pygoscelis papua),Anvers,47.4,14.6,212,4725,FEMALE
PAL0910,84,Gentoo penguin (Pygoscelis papua),Anvers,50,15.9,224,5350,MALE
PAL0910,85,Gentoo penguin (Pygoscelis papua),Anvers,44.9,13.8,212,4750,FEMALE
PAL0910,86,Gentoo penguin (Pygoscelis papua),Anvers,50.8,17.3,228,5600,MALE
PAL0910,87,Gentoo penguin (Pygoscelis papua),Anvers,43.4,14.4,218,4600,FEMALE
PAL0910,88,Gentoo penguin (Pygoscelis papua),Anvers,51.3,14.2,218,5300,MALE
PAL0910,89,Gentoo penguin (Pygoscelis papua),Anvers,47.5,14,212,4875,FEMALE
PAL0910,90,Gentoo penguin (Pygoscelis papua),Anvers,52.1,17,230,5550,MALE
PAL0910,91,Gentoo penguin (Pygoscelis papua),Anvers,47.5,15,218,4950,FEMALE
PAL0910,92,Gentoo penguin (Pygoscelis papua),Anvers,52.2,17.1,228,5400,MALE
PAL0910,93,Gentoo penguin (Pygoscelis papua),Anvers,45.5,14.5,212,4750,FEMALE
PAL0910,94,Gentoo penguin (Pygoscelis papua),Anvers,49.5,16.1,224,5650,MALE
PAL0910,95,Gentoo penguin (Pygoscelis papua),Anvers,44.5,14.7,214,4850,FEMALE
PAL0910,96,Gentoo penguin (Pygoscelis papua),Anvers,50.8,15.7,226,5200,MALE
PAL0910,97,Gentoo penguin (Pygoscelis papua),Anvers,49.4,15.8,216,4925,MALE
PAL0910,98,Gentoo penguin (Pygoscelis papua),Anvers,46.9,14.6,222,4875,FEMALE
PAL0910,99,Gentoo penguin (Pygoscelis papua),Anvers,48.4,14.4,203,4625,FEMALE
PAL0910,100,Gentoo penguin (Pygoscelis papua),Anvers,51.1,16.5,225,5250,MALE
PAL0910,101,Gentoo penguin (Pygoscelis papua),Anvers,48.5,15,219,4850,FEMALE
PAL0910,102,Gentoo penguin (Pygoscelis papua),Anvers,55.9,17,228,5600,MALE
PAL0910,103,Gentoo penguin (Pygoscelis papua),Anvers,47.2,15.5,215,4975,FEMALE
PAL0910,104,Gentoo penguin (Pygoscelis papua),Anvers,49.1,15,228,5500,MALE
PAL0910,105,Gentoo penguin (Pygoscelis papua),Anvers,47.3,13.8,216,4725,
PAL0910,106,Gentoo penguin (Pygoscelis papua),Anvers,46.8,16.1,215,5500,MALE
PAL0910,107,Gentoo penguin (Pygoscelis papua),Anvers,41.7,14.7,210,4700,FEMALE
PAL0910,108,Gentoo penguin (Pygoscelis papua),Anvers,53.4,15.8,219,5500,MALE
PAL0910,109,Gentoo penguin (Pygoscelis papua),Anvers,43.3,14,208,4575,FEMALE
PAL0910,110,Gentoo penguin (Pygoscelis papua),Anvers,48.1,15.1,209,5500,MALE
PAL0910,111,Gentoo penguin (Pygoscelis papua),Anvers,50.5,15.2,216,5000,FEMALE
PAL0910,112,Gentoo penguin (Pygoscelis papua),Anvers,49.8,15.9,229,5950,MALE
PAL0910,113,Gentoo penguin (Pygoscelis papua),Anvers,43.5,15.2,213,4650,FEMALE
PAL0910,114,Gentoo penguin (Pygoscelis papua),Anvers,51.5,16.3,230,5500,MALE
PAL0910,115,Gentoo penguin (Pygoscelis papua),Anvers,46.2,14.1,217,4375,FEMALE
PAL0910,116,Gentoo penguin (Pygoscelis papua),Anvers,55.1,16,230,5850,MALE
PAL0910,117,Gentoo penguin (Pygoscelis papua),Anvers,44.5,15.7,217,4875,.
PAL0910,118,Gentoo penguin (Pygoscelis papua),Anvers,48.8,16.2,222,6000,MALE
PAL0910,119,Gentoo penguin (Pygoscelis papua),Anvers,47.2,13.7,214,4925,FEMALE
PAL0910,120,Gentoo penguin (Pygoscelis papua),Anvers,,,,,
PAL0910,121,Gentoo penguin (Pygoscelis papua),Anvers,46.8,14.3,215,4850,FEMALE
PAL0910,122,Gentoo penguin (Pygoscelis papua),Anvers,50.4,15.7,222,5750,MALE
PAL0910,123,Gentoo penguin (Pygoscelis papua),Anvers,45.2,14.8,212,5200,FEMALE
PAL0910,124,Gentoo penguin (Pygoscelis papua),Anvers,49.9,16.1,213,5400,MALE
PAL0708,1,Adelie Penguin (Pygoscelis adeliae),Anvers,39.1,18.7,181,3750,MALE
PAL0708,2,Adelie Penguin (Pygoscelis adeliae),Anvers,39.5,17.4,186,3800,FEMALE
PAL0708,3,Adelie Penguin (Pygoscelis adeliae),Anvers,40.3,18,195,3250,FEMALE
PAL0708,4,Adelie Penguin (Pygoscelis adeliae),Anvers,,,,,
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Anvers,36.7,19.3,193,3450,FEMALE
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Anvers,39.3,20.6,190,3650,MALE
PAL0708,7,Adelie Penguin (Pygoscelis adeliae),Anvers,38.9,17.8,181,3625,FEMALE
PAL0708,8,Adelie Penguin (Pygoscelis adeliae),Anvers,39.2,19.6,195,4675,MALE
PAL0708,9,Adelie Penguin (Pygoscelis adeliae),Anvers,34.1,18.1,193,3475,
PAL0708,10,Adelie Penguin (Pygoscelis adeliae),Anvers,42,20.2,190,4250,
PAL0708,11,Adelie Penguin (Pygoscelis adeliae),Anvers,37.8,17.1,186,3300,
PAL0708,12,Adelie Penguin (Pygoscelis adeliae),Anvers,37.8,17.3,180,3700,
PAL0708,13,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,17.6,182,3200,FEMALE
PAL0708,14,Adelie Penguin (Pygoscelis adeliae),Anvers,38.6,21.2,191,3800,MALE
PAL0708,15,Adelie Penguin (Pygoscelis adeliae),Anvers,34.6,21.1,198,4400,MALE
PAL0708,16,Adelie Penguin (Pygoscelis adeliae),Anvers,36.6,17.8,185,3700,FEMALE
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Anvers,38.7,19,195,3450,FEMALE
PAL0708,18,Adelie Penguin (Pygoscelis adeliae),Anvers,42.5,20.7,197,4500,MALE
PAL0708,19,Adelie Penguin (Pygoscelis adeliae),Anvers,34.4,18.4,184,3325,FEMALE
PAL0708,20,Adelie Penguin (Pygoscelis adeliae),Anvers,46,21.5,194,4200,MALE
PAL0708,21,Adelie Penguin (Pygoscelis adeliae),Anvers,37.8,18.3,174,3400,FEMALE
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Anvers,37.7,18.7,180,3600,MALE
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Anvers,35.9,19.2,189,3800,FEMALE
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Anvers,38.2,18.1,185,3950,MALE
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,38.8,17.2,180,3800,MALE
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Anvers,35.3,18.9,187,3800,FEMALE
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Anvers,40.6,18.6,183,3550,MALE
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Anvers,40.5,17.9,187,3200,FEMALE
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Anvers,37.9,18.6,172,3150,FEMALE
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Anvers,40.5,18.9,180,3950,MALE
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Anvers,39.5,16.7,178,3250,FEMALE
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,37.2,18.1,178,3900,MALE
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Anvers,39.5,17.8,188,3300,FEMALE
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,40.9,18.9,184,3900,MALE
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Anvers,36.4,17,195,3325,FEMALE
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Anvers,39.2,21.1,196,4150,MALE
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Anvers,38.8,20,190,3950,MALE
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Anvers,42.2,18.5,180,3550,FEMALE
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Anvers,37.6,19.3,181,3300,FEMALE
PAL0708,40,Adelie Penguin (Pygoscelis adeliae),Anvers,39.8,19.1,184,4650,MALE
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Anvers,36.5,18,182,3150,FEMALE
PAL0708,42,Adelie Penguin (Pygoscelis adeliae),Anvers,40.8,18.4,195,3900,MALE
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Anvers,36,18.5,186,3100,FEMALE
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Anvers,44.1,19.7,196,4400,MALE
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Anvers,37,16.9,185,3000,FEMALE
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Anvers,39.6,18.8,190,4600,MALE
PAL0708,47,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,19,182,3425,MALE
PAL0708,48,Adelie Penguin (Pygoscelis adeliae),Anvers,37.5,18.9,179,2975,
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Anvers,36,17.9,190,3450,FEMALE
PAL0708,50,Adelie Penguin (Pygoscelis adeliae),Anvers,42.3,21.2,191,4150,MALE
PAL0809,51,Adelie Penguin (Pygoscelis adeliae),Anvers,39.6,17.7,186,3500,FEMALE
PAL0809,52,Adelie Penguin (Pygoscelis adeliae),Anvers,40.1,18.9,188,4300,MALE
PAL0809,53,Adelie Penguin (Pygoscelis adeliae),Anvers,35,17.9,190,3450,FEMALE
PAL0809,54,Adelie Penguin (Pygoscelis adeliae),Anvers,42,19.5,200,4050,MALE
PAL0809,55,Adelie Penguin (Pygoscelis adeliae),Anvers,34.5,18.1,187,2900,FEMALE
PAL0809,56,Adelie Penguin (Pygoscelis adeliae),Anvers,41.4,18.6,191,3700,MALE
PAL0809,57,Adelie Penguin (Pygoscelis adeliae),Anvers,39,17.5,186,3550,FEMALE
PAL0809,58,Adelie Penguin (Pygoscelis adeliae),Anvers,40.6,18.8,193,3800,MALE
PAL0809,59,Adelie Penguin (Pygoscelis adeliae),Anvers,36.5,16.6,181,2850,FEMALE
PAL0809,60,Adelie Penguin (Pygoscelis adeliae),Anvers,37.6,19.1,194,3750,MALE
PAL0809,61,Adelie Penguin (Pygoscelis adeliae),Anvers,35.7,16.9,185,3150,FEMALE
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Anvers,41.3,21.1,195,4400,MALE
PAL0809,63,Adelie Penguin (Pygoscelis adeliae),Anvers,37.6,17,185,3600,FEMALE
PAL0809,64,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,18.2,192,4050,MALE
PAL0809,65,Adelie Penguin (Pygoscelis adeliae),Anvers,36.4,17.1,184,2850,FEMALE
PAL0809,66,Adelie Penguin (Pygoscelis adeliae),Anvers,41.6,18,192,3950,MALE
PAL0809,67,Adelie Penguin (Pygoscelis adeliae),Anvers,35.5,16.2,195,3350,FEMALE
PAL0809,68,Adelie Penguin (Pygoscelis adeliae),Anvers,41.1,19.1,188,4100,MALE
PAL0809,69,Adelie Penguin (Pygoscelis adeliae),Anvers,35.9,16.6,190,3050,FEMALE
PAL0809,70,Adelie Penguin (Pygoscelis adeliae),Anvers,41.8,19.4,198,4450,MALE
PAL0809,71,Adelie Penguin (Pygoscelis adeliae),Anvers,33.5,19,190,3600,FEMALE
PAL0809,72,Adelie Penguin (Pygoscelis adeliae),Anvers,39.7,18.4,190,3900,MALE
PAL0809,73,Adelie Penguin (Pygoscelis adeliae),Anvers,39.6,17.2,196,3550,FEMALE
PAL0809,74,Adelie Penguin (Pygoscelis adeliae),Anvers,45.8,18.9,197,4150,MALE
PAL0809,75,Adelie Penguin (Pygoscelis adeliae),Anvers,35.5,17.5,190,3700,FEMALE
PAL0809,76,Adelie Penguin (Pygoscelis adeliae),Anvers,42.8,18.5,195,4250,MALE
PAL0809,77,Adelie Penguin (Pygoscelis adeliae),Anvers,40.9,16.8,191,3700,FEMALE
PAL0809,78,Adelie Penguin (Pygoscelis adeliae),Anvers,37.2,19.4,184,3900,MALE
PAL0809,79,Adelie Penguin (Pygoscelis adeliae),Anvers,36.2,16.1,187,3550,FEMALE
PAL0809,80,Adelie Penguin (Pygoscelis adeliae),Anvers,42.1,19.1,195,4000,MALE
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Anvers,34.6,17.2,189,3200,FEMALE
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,42.9,17.6,196,4700,MALE
